"var","dim","var_label","value_labels","present"
"c20","Anti-Elite","BRD: Demokratiezufriedenheit","keine Angabe=-99; nicht teilgenommen=-95; Interview abgebrochen=-93; sehr zufrieden=1; ziemlich zufrieden=2; nicht sehr zufrieden=3; ueberhaupt nicht zufrieden=4",TRUE
"d5a","Anti-Elite","Aussagen Demokratie: genug Partizipationsmoeglichkeiten","keine Angabe=-99; nicht teilgenommen=-95; Interview abgebrochen=-93; stimme voll und ganz zu=1; stimme eher zu=2; teils/teils=3; stimme eher nicht zu=4; stimme ueberhaupt nicht zu=5",TRUE
"d5b","Anti-Elite","Aussagen Demokratie: Gesetzgebung spiegelt Interessen wider","keine Angabe=-99; nicht teilgenommen=-95; Interview abgebrochen=-93; stimme voll und ganz zu=1; stimme eher zu=2; teils/teils=3; stimme eher nicht zu=4; stimme ueberhaupt nicht zu=5",TRUE
"d5c","Anti-Elite","Aussagen Demokratie: Parteien sind der zentrale Vermittler","keine Angabe=-99; nicht teilgenommen=-95; Interview abgebrochen=-93; stimme voll und ganz zu=1; stimme eher zu=2; teils/teils=3; stimme eher nicht zu=4; stimme ueberhaupt nicht zu=5",TRUE
"d5f","Anti-Elite","Aussagen Demokratie: Volksentscheid auf Bundesebene","keine Angabe=-99; nicht teilgenommen=-95; Interview abgebrochen=-93; stimme voll und ganz zu=1; stimme eher zu=2; teils/teils=3; stimme eher nicht zu=4; stimme ueberhaupt nicht zu=5",TRUE
"d5g","Anti-Elite","Aussagen Demokratie: Referenden fuehren zu schlechten Gesetzen","keine Angabe=-99; nicht teilgenommen=-95; Interview abgebrochen=-93; stimme voll und ganz zu=1; stimme eher zu=2; teils/teils=3; stimme eher nicht zu=4; stimme ueberhaupt nicht zu=5",TRUE
"d5h","Anti-Elite","Aussagen Demokratie: Vertrauensverlust der Buerger","keine Angabe=-99; nicht teilgenommen=-95; Interview abgebrochen=-93; stimme voll und ganz zu=1; stimme eher zu=2; teils/teils=3; stimme eher nicht zu=4; stimme ueberhaupt nicht zu=5",TRUE
"c19e","Left–Right (econ)","Wirtschaftskrise: Bereitstellung von Geldern fuer Wirtschaftswachstum","keine Angabe=-99; nicht teilgenommen=-95; Interview abgebrochen=-93; stimme voll und ganz zu=1; stimme eher zu=2; teils/teils=3; stimme eher nicht zu=4; stimme ueberhaupt nicht zu=5",TRUE
"c19f","Left–Right (econ)","Wirtschaftskrise: finanzielle Unterstuetzung aus Deutschland","keine Angabe=-99; nicht teilgenommen=-95; Interview abgebrochen=-93; stimme voll und ganz zu=1; stimme eher zu=2; teils/teils=3; stimme eher nicht zu=4; stimme ueberhaupt nicht zu=5",TRUE
"c2a","Left–Right (econ)","Einstellungen: Einwanderer an Kultur anpassen","keine Angabe=-99; nicht teilgenommen=-95; Interview abgebrochen=-93; stimme voll und ganz zu=1; stimme eher zu=2; teils/teils=3; stimme eher nicht zu=4; stimme ueberhaupt nicht zu=5",TRUE
"c2b","Left–Right (econ)","Einstellungen: Regierung aus Wirtschaft heraushalten","keine Angabe=-99; nicht teilgenommen=-95; Interview abgebrochen=-93; stimme voll und ganz zu=1; stimme eher zu=2; teils/teils=3; stimme eher nicht zu=4; stimme ueberhaupt nicht zu=5",TRUE
"c2d","Left–Right (econ)","Einstellungen: Verbot von gleichgeschlechtlichen Ehen","keine Angabe=-99; nicht teilgenommen=-95; Interview abgebrochen=-93; stimme voll und ganz zu=1; stimme eher zu=2; teils/teils=3; stimme eher nicht zu=4; stimme ueberhaupt nicht zu=5",TRUE
"c2g","Left–Right (econ)","Einstellungen: soziale Absicherung als Regierungsziel","keine Angabe=-99; nicht teilgenommen=-95; Interview abgebrochen=-93; stimme voll und ganz zu=1; stimme eher zu=2; teils/teils=3; stimme eher nicht zu=4; stimme ueberhaupt nicht zu=5",TRUE
"c2h","Left–Right (econ)","Einstellungen: Regierung sollte Einkommensunterschiede verringern","keine Angabe=-99; nicht teilgenommen=-95; Interview abgebrochen=-93; stimme voll und ganz zu=1; stimme eher zu=2; teils/teils=3; stimme eher nicht zu=4; stimme ueberhaupt nicht zu=5",TRUE
"c2i","Left–Right (econ)","Einstellungen: Einwander gut fuer deutsche Wirtschaft","keine Angabe=-99; nicht teilgenommen=-95; Interview abgebrochen=-93; stimme voll und ganz zu=1; stimme eher zu=2; teils/teils=3; stimme eher nicht zu=4; stimme ueberhaupt nicht zu=5",TRUE
"c2j","Left–Right (econ)","Einstellungen: Selbstentscheidung ueber Schwangerschaftsabbruch","keine Angabe=-99; nicht teilgenommen=-95; Interview abgebrochen=-93; stimme voll und ganz zu=1; stimme eher zu=2; teils/teils=3; stimme eher nicht zu=4; stimme ueberhaupt nicht zu=5",TRUE
"c3","Left–Right (econ)","Links-Rechts: Selbsteinstufung","keine Angabe=-99; nicht teilgenommen=-95; Interview abgebrochen=-93; 1 links=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10; 11 rechts=11",TRUE
"c9","Left–Right (econ)","LibAut Issue Auslaender: Ego","keine Angabe=-99; nicht teilgenommen=-95; Interview abgebrochen=-93; 1 Zuzugsmoeglichkeiten für Auslaender sollten erleichtert werden=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10; 11 Zuzugsmoeglichkeiten für Auslaender sollten eingeschraenkt werden=11",TRUE
